strain	serotype	genotype	date	region	country	division	locate	host	passage	specimen	additional host information	sequencing technology	assembly method	comment	comment type
EPI_ISL_10238963	DENV2	II-Cosmopolitan	2019-09-28	South America	Peru			Human	Original			Illumina	Genome Detective v. 1.137		
EPI_ISL_10239118	DENV2	II-Cosmopolitan	2019-09-26	South America	Peru			Human	Original			Illumina	Genome Detective v. 1.137		
EPI_ISL_10239375	DENV2	III-Asian-American	2018-12-31	South America	Peru			Human	Original			Illumina	Genome Detective v. 1.137		
EPI_ISL_11538421	DENV2	II-Cosmopolitan	2021-07-21	South America	Peru			Human	Original			Illumina	BWA v. 0.7.17		
EPI_ISL_11538425	DENV2	III-Asian-American	2021-06-18	South America	Peru			Human	Original			Illumina	BWA v. 0.7.17		
EPI_ISL_11539123	DENV2	II-Cosmopolitan	2021-04-12	South America	Peru			Human	Original			Illumina	BWA v. 0.7.17		
EPI_ISL_11539124	DENV2	II-Cosmopolitan	2021-04-08	South America	Peru			Human	Original			Illumina	BWA v. 0.7.17		
EPI_ISL_11539125	DENV2	II-Cosmopolitan	2021-03-24	South America	Peru			Human	Original			Illumina	BWA v. 0.7.17		
EPI_ISL_11539126	DENV2	II-Cosmopolitan	2021-03-08	South America	Peru			Human	Original			Illumina	BWA v. 0.7.17		
EPI_ISL_11539127	DENV2	II-Cosmopolitan	2021-03-04	South America	Peru			Human	Original			Illumina	BWA v. 0.7.17		
EPI_ISL_11540732	DENV2	II-Cosmopolitan	2021-03-01	South America	Peru			Human	Original			Illumina	BWA v. 0.7.17		
EPI_ISL_11579708	DENV2	III-Asian-American	2019-05-28	South America	Brazil			Human	Original	Serum		Oxford Nanopore MinION	Nanopolish v. 0.11.1	Partial NS5 gene sequence is reported.	
EPI_ISL_11579724	DENV2	III-Asian-American	2019-05-20	South America	Brazil			Human	Original	Serum		Oxford Nanopore MinION	Nanopolish v. 0.11.1	Stretches of NNNs (7.48%% of overall sequence). Partial NS5 gene sequence is reported.	warn
EPI_ISL_11579725	DENV2	III-Asian-American	2019-05-09	South America	Brazil			Human	Original	Serum		Oxford Nanopore MinION	Nanopolish v. 0.11.1	Stretches of NNNs (7.60%% of overall sequence). Partial NS5 gene sequence is reported.	warn
